,Calories,Protein,Carbs,Fat,Sugar,Sodium,Serving
Pho,638,47g,78g,14g,14g,3268mg,"
1
bowl (3 cups) (710g)"
Pizza,285,12g,36g,10g,3.8g,640mg,"
1
slice (107g)"
Pork chop,328,40g,0g,17g,0g,86mg,"
1
chop without refuse (157g)"
Poutine,886,28g,66g,57g,1.4g,1588mg,"
1
restaurant serving (400g)"
Prime rib,290,19g,0g,23g,0g,54mg,"
3
oz (85g)"
Pulled pork sandwich,532,34g,81g,7.5g,54g,2077mg,"
1
sandwich (304g)"
Ramen,954,48g,111g,35g,6.7g,2691mg,"
1
bowl (3 cups) (707g)"
Ravioli,41,2.1g,4.5g,1.6g,0.1g,60mg,"
1
ravioli (23g)"
Red velvet cake,368,4.2g,36g,23g,25g,318mg,"
1
piece (109g)"
Risotto,413,14g,54g,13g,4.7g,1451mg,"
1
cup (337g)"
Samosa,261,3.5g,24g,17g,1.6g,423mg,"
1
samosa (100g)"
Sashimi,35,5.3g,0.3g,1.2g,0g,43mg,"
1
piece (28g)"
Scallops,14,2.7g,0.7g,0.1g,0g,87mg,"
1
scallop (13g)"
Seaweed salad,106,2.9g,8g,7.3g,3.2g,1144mg,"
1
cup (93g)"
Shrimp and grits,716,46g,42g,40g,1.3g,2259mg,"
2
cups (480g)"
Spaghetti bolognese,667,35g,84g,22g,14g,637mg,"
1
serving (about 2 cups) (660g)"
Spaghetti carbonara,1018,44g,133g,33g,2.5g,965mg,"
1
plate (about 3 cups) (512g)"
Spring rolls,148,3.7g,19g,6.2g,0.9g,270mg,"
1
roll (64g)"
Steak,614,58g,0g,41g,0g,115mg,"
1
steak (221g)"
Strawberry shortcake,485,6.7g,52g,29g,23g,322mg,"
1
piece (283g)"
Sushi,349,7.8g,38g,19g,7g,537mg,"
1
roll (8 pieces) (211g)"
Tacos,210,9.4g,21g,9.9g,1.6g,571mg,"
1
taco (102g)"
Takoyaki,58,3g,5.8g,2.5g,0.1g,161mg,"
1
piece (39g)"
Tiramisu,572,8.3g,35g,44g,21g,300mg,"
1
piece (174g)"
Tuna tartare,98,7.7g,1.9g,6.8g,0.2g,381mg,"
0.3
cup (56g)"
Waffles,218,5.9g,25g,11g,0g,383mg,"
1
waffle, round (7"" dia) (75g)"
